"47 The American Sign Language and English Secondary School","223 EAST 23 STREET MANHATTAN, NY 10010",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"P.S. 005 Dr. Ronald Mcnair","820 HANCOCK STREET BROOKLYN, NY 11233",40.685546,-73.922603,1,rooftop,820,"Hancock St",Brooklyn,NY,"Kings County",11233,US,"City of New York"
"P.S. 005 Ellen Lurie","3703 TENTH AVENUE MANHATTAN, NY 10034",40.85892,-73.922428,0.9,rooftop,3703,"10th Ave","New York",NY,"New York County",10040,US,"City of New York"
"P.S. 007 Abraham Lincoln","858 JAMAICA AVENUE BROOKLYN, NY 11208",40.689594,-73.872989,1,rooftop,858,"Jamaica Ave",Brooklyn,NY,"Kings County",11208,US,"City of New York"
"P.S. 008 Issac Varian","3010 BRIGGS AVENUE BRONX, NY 10458",40.872402,-73.883651,1,rooftop,3010,"Briggs Ave",Bronx,NY,"Bronx County",10458,US,"City of New York"
"P.S. 008 Luis Belliard","465 WEST 167 STREET MANHATTAN, NY 10032",40.839031,-73.936713,1,rooftop,465,"W 167th St","New York",NY,"New York County",10032,US,"City of New York"
"P.S. 009 Sarah Anderson","100 WEST 84 STREET MANHATTAN, NY 10024",40.785287,-73.973745,1,rooftop,100,"W 84th St","New York",NY,"New York County",10024,US,"City of New York"
"P.S. 011 Highbridge","1257 OGDEN AVENUE BRONX, NY 10452",40.839672,-73.925699,1,rooftop,1257,"Ogden Ave",Bronx,NY,"Bronx County",10452,US,"City of New York"
"P.S. 011 William T. Harris","320 WEST 21 STREET MANHATTAN, NY 10011",40.744466,-74.000772,1,rooftop,320,"W 21st St","New York",NY,"New York County",10011,US,"City of New York"
"P.S. 012 James B. Colgate","42-00 72 STREET QUEENS, NY 11377",40.742363,-73.892978,1,rooftop,42-,"72nd St",Woodside,NY,"Queens County",11377,US,"City of New York"
"P.S. 013 Clement C. Moore","55-01 94 STREET QUEENS, NY 11373",40.737342,-73.868169,1,rooftop,55-1,"94th St",Elmhurst,NY,"Queens County",11373,US,"City of New York"
"P.S. 013 Roberto Clemente","557 PENNSYLVANIA AVENUE BROOKLYN, NY 11207",40.663642,-73.893547,1,rooftop,557,"Pennsylvania Ave",Brooklyn,NY,"Kings County",11207,US,"City of New York"
"P.S. 014 Fairview","107-01 OTIS AVENUE QUEENS, NY 11368",40.740865,-73.854178,1,rooftop,107-1,"Otis Ave",Corona,NY,"Queens County",11368,US,"City of New York"
"P.S. 015 Patrick F. Daly","71 SULLIVAN STREET BROOKLYN, NY 11231",40.67711,-74.011445,1,rooftop,71,"Sullivan St",Brooklyn,NY,"Kings County",11231,US,"City of New York"
"P.S. 016 John J. Driscoll","195 DANIEL LOW TERRACE STATEN ISLAND, NY 10301",40.639614,-74.079933,1,rooftop,195,"Daniel Low Ter","Staten Island",NY,"Richmond County",10301,US,"City of New York"
"P.S. 017 Henry D. Woodworth","208 NORTH 5 STREET BROOKLYN, NY 11211",40.715362,-73.956968,1,rooftop,208,"N 5th St",Brooklyn,NY,"Kings County",11211,US,"City of New York"
"P.S. 018 Edward Bush","101 MAUJER STREET BROOKLYN, NY 11206",40.71072,-73.946899,1,rooftop,101,"Maujer St",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"P.S. 018 John G. Whittier","221 BROADWAY STATEN ISLAND, NY 10310",40.636836,-74.117346,1,rooftop,221,Broadway,"Staten Island",NY,"Richmond County",10310,US,"City of New York"
"P.S. 018 John Peter Zenger","502 MORRIS AVENUE BRONX, NY 10451",40.816426,-73.92299,1,rooftop,502,"Morris Ave",Bronx,NY,"Bronx County",10451,US,"City of New York"
"P.S. 019 Asher Levy","185 1 AVENUE MANHATTAN, NY 10003",40.729735,-73.984018,1,rooftop,185,"1st Ave","New York",NY,"New York County",10003,US,"City of New York"
"P.S. 020 Port Richmond","161 PARK AVENUE STATEN ISLAND, NY 10302",40.636739,-74.132576,1,rooftop,161,"Park Ave","Staten Island",NY,"Richmond County",10302,US,"City of New York"
"P.S. 021 Crispus Attucks","180 CHAUNCEY STREET BROOKLYN, NY 11233",40.680632,-73.926256,1,rooftop,180,"Chauncey St",Brooklyn,NY,"Kings County",11233,US,"City of New York"
"P.S. 021 Edward Hart","147-36 26 AVENUE QUEENS, NY 11354",40.774352,-73.817933,1,rooftop,147-36,"26th Ave",Flushing,NY,"Queens County",11354,US,"City of New York"
"P.S. 021 Philip H. Sheridan","715 EAST 225 STREET BRONX, NY 10466",40.887664,-73.859729,1,rooftop,715,"E 225th St",Bronx,NY,"Bronx County",10466,US,"City of New York"
"P.S. 022 Graniteville Extension","1860 FOREST AVENUE STATEN ISLAND, NY 10303",40.625168,-74.151187,1,rooftop,1860,"Forest Ave","Staten Island",NY,"Richmond County",10303,US,"City of New York"
"P.S. 026 The Carteret School","4108 VICTORY BOULEVARD STATEN ISLAND, NY 10314",40.591679,-74.190284,1,rooftop,4108,"Victory Blvd","Staten Island",NY,"Richmond County",10314,US,"City of New York"
"P.S. 028 Mount Hope","1861 ANTHONY AVENUE BRONX, NY 10457",40.84829,-73.90355,1,rooftop,1861,"Anthony Ave",Bronx,NY,"Bronx County",10457,US,"City of New York"
"P.S. 028 Wright Brothers","475 WEST 155 STREET MANHATTAN, NY 10032",40.831546,-73.942404,1,rooftop,475,"W 155th St","New York",NY,"New York County",10032,US,"City of New York"
"P.S. 030 Westerleigh","200 WARDWELL AVENUE STATEN ISLAND, NY 10314",40.618018,-74.132847,1,rooftop,200,"Wardwell Ave","Staten Island",NY,"Richmond County",10314,US,"City of New York"
"P.S. 031 Samuel F. Dupont","75 MESEROLE AVENUE BROOKLYN, NY 11222",40.726753,-73.954039,1,rooftop,75,"Meserole Ave",Brooklyn,NY,"Kings County",11222,US,"City of New York"
"P.S. 031 William T. Davis","55 LAYTON AVENUE STATEN ISLAND, NY 10301",40.64174,-74.085515,1,rooftop,55,"Layton Ave","Staten Island",NY,"Richmond County",10301,US,"City of New York"
"P.S. 032 Belmont","690 EAST 183 STREET BRONX, NY 10458",40.852013,-73.886056,0.9,rooftop,690,"E 183rd St",Bronx,NY,"Bronx County",10457,US,"City of New York"
"P.S. 033 Timothy Dwight","2424 JEROME AVENUE BRONX, NY 10468",40.861675,-73.901633,1,rooftop,2424,"Jerome Ave",Bronx,NY,"Bronx County",10468,US,"City of New York"
"P.S. 036 Margaret Douglas","123 MORNINGSIDE DRIVE MANHATTAN, NY 10027",40.810509,-73.957399,0.9,rooftop,123,"Morningside Dr","New York",NY,"New York County",10026,US,"City of New York"
"P.S. 036 Unionport","1070 CASTLE HILL AVENUE BRONX, NY 10472",40.829418,-73.850258,1,rooftop,1070,"Castle Hill Ave",Bronx,NY,"Bronx County",10472,US,"City of New York"
"P.S. 038 The Pacific","450 PACIFIC STREET BROOKLYN, NY 11217",40.685094,-73.982632,1,rooftop,450,"Pacific St",Brooklyn,NY,"Kings County",11217,US,"City of New York"
"P.S. 041 Francis White","411 THATFORD AVENUE BROOKLYN, NY 11212",40.660349,-73.90725,1,rooftop,411,"Thatford Ave",Brooklyn,NY,"Kings County",11212,US,"City of New York"
"P.S. 041 Greenwich Village","116 WEST 11 STREET MANHATTAN, NY 10011",40.73556,-73.999014,1,rooftop,116,"W 11th St","New York",NY,"New York County",10011,US,"City of New York"
"P.S. 041 Gun Hill Road","3352 OLINVILLE AVENUE BRONX, NY 10467",40.874514,-73.868021,1,rooftop,3352,"Olinville Ave",Bronx,NY,"Bronx County",10467,US,"City of New York"
"P.S. 042 Benjamin Altman","71 HESTER STREET MANHATTAN, NY 10002",40.715983,-73.99088,1,rooftop,71,"Hester St","New York",NY,"New York County",10002,US,"City of New York"
"P.S. 042 Claremont","1537 WASHINGTON AVENUE BRONX, NY 10457",40.83856,-73.903026,1,rooftop,1537,"Washington Ave",Bronx,NY,"Bronx County",10457,US,"City of New York"
"P.S. 044 Marcus Garvey","432 MONROE STREET BROOKLYN, NY 11221",40.686421,-73.940983,1,rooftop,432,"Monroe St",Brooklyn,NY,"Kings County",11221,US,"City of New York"
"P.S. 044 Thomas C. Brown","80 MAPLE PARKWAY STATEN ISLAND, NY 10303",40.631621,-74.156757,1,rooftop,80,"Maple Pkwy","Staten Island",NY,"Richmond County",10303,US,"City of New York"
"P.S. 046 Alley Pond","64-45 218 STREET QUEENS, NY 11364",40.745298,-73.758167,1,rooftop,64-45,"218th St","Oakland Gardens",NY,"Queens County",11364,US,"City of New York"
"P.S. 046 Arthur Tappan","2987 FREDERICK DOUGLASS BOULEVARD MANHATTAN, NY 10039",40.831491,-73.935885,1,rooftop,2987,"Frederick Douglass Blvd","New York",NY,"New York County",10039,US,"City of New York"
"P.S. 046 Edgar Allan Poe","279 EAST 196 STREET BRONX, NY 10458",40.86695,-73.890627,1,rooftop,279,"E 196th St",Bronx,NY,"Bronx County",10458,US,"City of New York"
"P.S. 047 John Randolph","1794 EAST 172 STREET BRONX, NY 10472",40.83274,-73.866996,1,rooftop,1794,"E 172nd St",Bronx,NY,"Bronx County",10472,US,"City of New York"
"P.S. 048 Mapleton","6015 18 AVENUE BROOKLYN, NY 11204",40.595216,-73.974594,0.9,rooftop,18,"Gravesend Neck Rd",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"P.S. 048 William Wordsworth","108-29 155 STREET QUEENS, NY 11433",40.69357,-73.796108,1,rooftop,108-29,"155th St",Jamaica,NY,"Queens County",11433,US,"City of New York"
"P.S. 049 Dorothy Bonawit Kole","63-60 80th Street QUEENS, NY 11379",40.719518,-73.875034,1,rooftop,63-60,"80th St","Middle Village",NY,"Queens County",11379,US,"City of New York"
"P.S. 052 John C. Thompson","450 BUEL AVENUE STATEN ISLAND, NY 10305",40.58247,-74.088403,1,rooftop,450,"Buel Ave","Staten Island",NY,"Richmond County",10305,US,"City of New York"
"P.S. 052 Sheepshead Bay","2675 EAST 29 STREET BROOKLYN, NY 11235",40.587404,-73.940252,1,rooftop,2675,"E 29th St",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"P.S. 053 Basheer Quisim","360 EAST 168 STREET BRONX, NY 10456",40.832764,-73.911504,1,rooftop,360,"E 168th St",Bronx,NY,"Bronx County",10456,US,"City of New York"
"P.S. 053 Bay Terrace","330 DURANT AVENUE STATEN ISLAND, NY 10308",40.552129,-74.137382,1,rooftop,330,"Durant Ave","Staten Island",NY,"Richmond County",10308,US,"City of New York"
"P.S. 054 Charles W. Leng","1060 WILLOWBROOK ROAD STATEN ISLAND, NY 10314",40.603084,-74.137706,1,rooftop,1060,"Willowbrook Rd","Staten Island",NY,"Richmond County",10314,US,"City of New York"
"P.S. 055 Henry M. Boehm","54 OSBORNE STREET STATEN ISLAND, NY 10312",40.536556,-74.163617,1,rooftop,54,"Osborne St","Staten Island",NY,"Richmond County",10312,US,"City of New York"
"P.S. 056 Norwood Heights","341 EAST 207 STREET BRONX, NY 10467",40.87526,-73.875041,1,rooftop,341,"E 207th St",Bronx,NY,"Bronx County",10467,US,"City of New York"
"P.S. 057 Crescent","2111 CROTONA AVENUE BRONX, NY 10457",40.848646,-73.888836,1,rooftop,2111,"Crotona Ave",Bronx,NY,"Bronx County",10457,US,"City of New York"
"P.S. 057 Hubert H. Humphrey","140 PALMA DRIVE STATEN ISLAND, NY 10304",40.611392,-74.083375,1,rooftop,140,"Palma Dr","Staten Island",NY,"Richmond County",10304,US,"City of New York"
"P.S. 058","459 EAST 176 STREET BRONX, NY 10457",40.846109,-73.898846,1,rooftop,459,"E 176th St",Bronx,NY,"Bronx County",10457,US,"City of New York"
"P.S. 059 The Community School of Technology","2185 BATHGATE AVENUE BRONX, NY 10457",40.85306,-73.893421,1,rooftop,2185,"Bathgate Ave",Bronx,NY,"Bronx County",10457,US,"City of New York"
"P.S. 060 Alice Austen","55 MERRILL AVENUE STATEN ISLAND, NY 10314",40.61038,-74.162688,1,rooftop,55,"Merrill Ave","Staten Island",NY,"Richmond County",10314,US,"City of New York"
"P.S. 060 Woodhaven","91-02 88 AVENUE QUEENS, NY 11421",40.691967,-73.852964,1,rooftop,91-2,"88th Ave",Woodhaven,NY,"Queens County",11421,US,"City of New York"
"P.S. 062 Chester Park","97-25 108 STREET QUEENS, NY 11419",40.688636,-73.836029,1,rooftop,97-25,"108th St","South Richmond Hill",NY,"Queens County",11419,US,"City of New York"
"P.S. 062 Inocensio Casanova","660 FOX STREET BRONX, NY 10455",40.813974,-73.900256,1,rooftop,660,"Fox St",Bronx,NY,"Bronx County",10455,US,"City of New York"
"P.S. 063 Author's Academy","1260 FRANKLIN AVENUE BRONX, NY 10456",40.831071,-73.902272,1,rooftop,1260,"Franklin Ave",Bronx,NY,"Bronx County",10456,US,"City of New York"
"P.S. 064 Robert Simon","600 EAST 6 STREET MANHATTAN, NY 10009",40.724233,-73.981387,1,rooftop,600,"E 6th St","New York",NY,"New York County",10009,US,"City of New York"
"P.S. 066 School of Higher Expectations","1001 JENNINGS STREET BRONX, NY 10460",40.831216,-73.886725,1,rooftop,1001,"Jennings St",Bronx,NY,"Bronx County",10460,US,"City of New York"
"P.S. 067 Charles A. Dorsey","51 SAINT EDWARDS STREET BROOKLYN, NY 11205",40.695251,-73.978039,1,rooftop,51,"St Edwards St",Brooklyn,NY,"Kings County",11205,US,"City of New York"
"P.S. 067 Mohegan School","2024 MOHEGAN AVENUE BRONX, NY 10460",40.844001,-73.884536,1,rooftop,2024,"Mohegan Ave",Bronx,NY,"Bronx County",10460,US,"City of New York"
"P.S. 069 Daniel D. Tompkins","144 KEATING PLACE STATEN ISLAND, NY 10314",40.590978,-74.157467,1,rooftop,144,"Keating Pl","Staten Island",NY,"Richmond County",10314,US,"City of New York"
"P.S. 069 Jackson Heights","77-02 37 AVENUE QUEENS, NY 11372",40.749102,-73.888502,1,rooftop,77-2,"37th Ave","Jackson Heights",NY,"Queens County",11372,US,"City of New York"
"P.S. 070 Max Schoenfeld","1691 WEEKS AVENUE BRONX, NY 10457",40.844395,-73.907769,1,rooftop,1691,"Weeks Ave",Bronx,NY,"Bronx County",10457,US,"City of New York"
"P.S. 071 Rose E. Scala","3040 ROBERTS AVENUE BRONX, NY 10461",40.845672,-73.829743,1,rooftop,3040,"Roberts Ave",Bronx,NY,"Bronx County",10461,US,"City of New York"
"P.S. 072 Dr. William Dorney","2951 DEWEY AVENUE BRONX, NY 10465",40.822896,-73.818002,1,rooftop,2951,"Dewey Ave",Bronx,NY,"Bronx County",10465,US,"City of New York"
"P.S. 075 Mayda Cortiella","95 GROVE STREET BROOKLYN, NY 11221",40.693102,-73.921042,1,rooftop,95,"Grove St",Brooklyn,NY,"Kings County",11221,US,"City of New York"
"P.S. 076 A. Philip Randolph","220 WEST 121 STREET MANHATTAN, NY 10027",40.806711,-73.951244,1,rooftop,220,"W 121st St","New York",NY,"New York County",10027,US,"City of New York"
"P.S. 076 The Bennington School","900 ADEE AVENUE BRONX, NY 10469",40.868653,-73.861171,1,rooftop,900,"Adee Ave",Bronx,NY,"Bronx County",10469,US,"City of New York"
"P.S. 078 Anne Hutchinson","1400 NEEDHAM AVENUE BRONX, NY 10469",40.878652,-73.85071,1,rooftop,1400,"Needham Ave",Bronx,NY,"Bronx County",10469,US,"City of New York"
"P.S. 081 Thaddeus Stevens","990 DEKALB AVENUE BROOKLYN, NY 11221",40.6931,-73.935299,1,rooftop,990,"Dekalb Ave",Brooklyn,NY,"Kings County",11221,US,"City of New York"
"P.S. 083 Donald Hertz","1840 BOGART AVENUE BRONX, NY 10462",40.848626,-73.858675,1,rooftop,1840,"Bogart Ave",Bronx,NY,"Bronx County",10462,US,"City of New York"
"P.S. 083 Luis Munoz Rivera","219 EAST 109 STREET MANHATTAN, NY 10029",40.793089,-73.942005,1,rooftop,219,"E 109th St","New York",NY,"New York County",10029,US,"City of New York"
"P.S. 084 Jose De Diego","250 BERRY STREET BROOKLYN, NY 11211",40.714841,-73.96313,0.9,rooftop,250,"Berry St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"P.S. 085 Judge Charles Vallone","23-70 31 STREET QUEENS, NY 11105",40.773009,-73.914843,1,rooftop,23-70,"31st St",Astoria,NY,"Queens County",11105,US,"City of New York"
"P.S. 086 Kingsbridge Heights","2756 RESERVOIR AVENUE BRONX, NY 10468",40.870024,-73.898207,1,rooftop,2756,"Reservoir Ave",Bronx,NY,"Bronx County",10468,US,"City of New York"
"P.S. 086 The Irvington","220 IRVING AVENUE BROOKLYN, NY 11237",40.700748,-73.91766,1,rooftop,220,"Irving Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"P.S. 089 Bronx","980 MACE AVENUE BRONX, NY 10469",40.862848,-73.859238,1,rooftop,980,"Mace Ave",Bronx,NY,"Bronx County",10469,US,"City of New York"
"P.S. 091 Bronx","2170 AQUEDUCT AVENUE BRONX, NY 10453",40.857453,-73.90844,1,range_interpolation,2170,"Aqueduct Ave",Bronx,NY,"Bronx County",10453,US,"TIGER/Line® dataset from the US Census Bureau"
"P.S. 091 The Albany Avenue School","532 ALBANY AVENUE BROOKLYN, NY 11203",40.661837,-73.940141,1,rooftop,532,"Albany Ave",Brooklyn,NY,"Kings County",11203,US,"City of New York"
"P.S. 092 Adrian Hegeman","601 PARKSIDE AVENUE BROOKLYN, NY 11226",40.656129,-73.954114,0.9,rooftop,601,"Parkside Ave",Brooklyn,NY,"Kings County",11225,US,"City of New York"
"P.S. 093 Albert G. Oliver","1535 STORY AVENUE BRONX, NY 10473",40.82197,-73.87701,1,rooftop,1535,"Story Ave",Bronx,NY,"Bronx County",10473,US,"City of New York"
"P.S. 094 The Henry Longfellow","5010 6 AVENUE BROOKLYN, NY 11220",40.618856,-73.926433,0.62,nearest_rooftop_match,5008,"Ave N",Brooklyn,NY,"Kings County",11234,US,"City of New York"
"P.S. 095 Sheila Mencher","3961 HILLMAN AVENUE BRONX, NY 10463",40.882946,-73.891441,1,rooftop,3961,"Hillman Ave",Bronx,NY,"Bronx County",10463,US,"City of New York"
"P.S. 095 The Gravesend","345 VAN SICKLEN STREET BROOKLYN, NY 11223",40.595588,-73.975038,1,rooftop,345,"Van Sicklen St",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"P.S. 096 Joseph Lanzetta","216 EAST 120 STREET MANHATTAN, NY 10035",40.799919,-73.937027,1,rooftop,216,"E 120th St","New York",NY,"New York County",10035,US,"City of New York"
"P.S. 097 Bronx","1375 MACE AVENUE BRONX, NY 10469",40.863072,-73.846947,1,rooftop,1375,"Mace Ave",Bronx,NY,"Bronx County",10469,US,"City of New York"
"P.S. 097 Forest Park","85-52 85 STREET QUEENS, NY 11421",40.694278,-73.859781,1,rooftop,85-52,"85th St",Woodhaven,NY,"Queens County",11421,US,"City of New York"
"P.S. 098 Shorac Kappock","512 WEST 212 STREET MANHATTAN, NY 10034",40.86793,-73.917668,1,rooftop,512,"W 212th St","New York",NY,"New York County",10034,US,"City of New York"
"P.S. 099 Isaac Asimov","1120 EAST 10 STREET BROOKLYN, NY 11230",40.621562,-73.965758,1,rooftop,1120,"E 10th St",Brooklyn,NY,"Kings County",11230,US,"City of New York"
"P.S. 100 Glen Morris","111-11 118 STREET QUEENS, NY 11420",40.67991,-73.821875,1,rooftop,111-11,"118th St","South Ozone Park",NY,"Queens County",11420,US,"City of New York"
"P.S. 100 Isaac Clason","800 TAYLOR AVENUE BRONX, NY 10473",40.82186,-73.862933,1,rooftop,800,"Taylor Ave",Bronx,NY,"Bronx County",10473,US,"City of New York"
"P.S. 100 The Coney Island School","2951 WEST 3 STREET BROOKLYN, NY 11224",40.577592,-73.971101,1,rooftop,2951,"W 3rd St",Brooklyn,NY,"Kings County",11224,US,"City of New York"
"P.S. 101 The Verrazano","2360 BENSON AVENUE BROOKLYN, NY 11214",40.597618,-73.991725,1,rooftop,2360,"Benson Ave",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"P.S. 102 The Bayview","211 72 STREET BROOKLYN, NY 11209",40.63412,-74.028992,1,rooftop,211,"72nd St",Brooklyn,NY,"Kings County",11209,US,"City of New York"
"P.S. 103 Hector Fontanez","4125 CARPENTER AVENUE BRONX, NY 10466",40.892245,-73.861622,1,rooftop,4125,"Carpenter Ave",Bronx,NY,"Bronx County",10466,US,"City of New York"
"P.S. 104 The Bays Water","26-01 MOTT AVENUE QUEENS, NY 11691",40.6082,-73.764899,1,rooftop,26-1,"Mott Ave","Far Rockaway",NY,"Queens County",11691,US,"City of New York"
"P.S. 105 Sen Abraham Bernstein","725 BRADY AVENUE BRONX, NY 10462",40.852585,-73.866448,1,rooftop,725,"Brady Ave",Bronx,NY,"Bronx County",10462,US,"City of New York"
"P.S. 105 The Blythebourne","1031 59 STREET BROOKLYN, NY 11219",40.633114,-74.003671,1,rooftop,1031,"59th St",Brooklyn,NY,"Kings County",11219,US,"City of New York"
"P.S. 106 Edward Everett Hale","1328 PUTNAM AVENUE BROOKLYN, NY 11221",40.693885,-73.912909,1,rooftop,1328,"Putnam Ave",Brooklyn,NY,"Kings County",11221,US,"City of New York"
"P.S. 107 Thomas A Dooley","167-02 45 AVENUE QUEENS, NY 11358",40.755816,-73.799423,1,rooftop,167-2,"45th Ave",Flushing,NY,"Queens County",11358,US,"City of New York"
"P.S. 107","1695 SEWARD AVENUE BRONX, NY 10473",40.818661,-73.868441,1,rooftop,1695,"Seward Ave",Bronx,NY,"Bronx County",10473,US,"City of New York"
"P.S. 108 Assemblyman Angelo Del Toro Educational Complex","1615 MADISON AVENUE MANHATTAN, NY 10029",40.795154,-73.948165,1,rooftop,1615,"Madison Ave","New York",NY,"New York County",10029,US,"City of New York"
"P.S. 108 Sal Abbracciamento","200 LINWOOD STREET BROOKLYN, NY 11208",40.681298,-73.884185,1,rooftop,200,"Linwood St",Brooklyn,NY,"Kings County",11208,US,"City of New York"
"P.S. 109 Sedgwick","1771 POPHAM AVENUE BRONX, NY 10453",40.85153,-73.918631,1,rooftop,1771,"Popham Ave",Bronx,NY,"Bronx County",10453,US,"City of New York"
"P.S. 11 Thomas Dongan School","51 JEFFERSON STREET STATEN ISLAND, NY 10304",40.590678,-74.09785,1,rooftop,51,"Jefferson St","Staten Island",NY,"Richmond County",10304,US,"City of New York"
"P.S. 110 Theodore Schoenfeld","580 CROTONA PARK SOUTH BRONX, NY 10456",40.835096,-73.900477,1,rooftop,580,"Crotona Park S",Bronx,NY,"Bronx County",10456,US,"City of New York"
"P.S. 111 Adolph S. Ochs","440 WEST 53 STREET MANHATTAN, NY 10019",40.766005,-73.989356,1,rooftop,440,"W 53rd St","New York",NY,"New York County",10019,US,"City of New York"
"P.S. 111 Jacob Blackwell","37-15 13 STREET QUEENS, NY 11101",40.7586,-73.939373,1,rooftop,37-15,"13th St","Long Island City",NY,"Queens County",11101,US,"City of New York"
"P.S. 111 Seton Falls","3740 BAYCHESTER AVENUE BRONX, NY 10466",40.884555,-73.840005,1,rooftop,3740,"Baychester Ave",Bronx,NY,"Bronx County",10466,US,"City of New York"
"P.S. 112 Bronxwood","1925 SCHIEFFELIN AVENUE BRONX, NY 10466",40.884875,-73.843676,1,rooftop,1925,"Schieffelin Ave",Bronx,NY,"Bronx County",10466,US,"City of New York"
"P.S. 112 Jose Celso Barbosa","535 EAST 119 STREET MANHATTAN, NY 10035",40.796557,-73.930451,1,rooftop,535,"E 119th St","New York",NY,"New York County",10035,US,"City of New York"
"P.S. 115 Alexander Humboldt","586 WEST 177 STREET MANHATTAN, NY 10033",40.846436,-73.935199,1,rooftop,586,"W 177th St","New York",NY,"New York County",10033,US,"City of New York"
"P.S. 115 Daniel Mucatel School","1500 EAST 92 STREET BROOKLYN, NY 11236",40.634816,-73.8974,1,rooftop,1500,"E 92nd St",Brooklyn,NY,"Kings County",11236,US,"City of New York"
"P.S. 117 J. Keld / Briarwood School","85-15 143 STREET QUEENS, NY 11435",40.710014,-73.813219,1,rooftop,85-15,"143rd St",Jamaica,NY,"Queens County",11435,US,"City of New York"
"P.S. 119 Amersfort","3829 AVENUE K BROOKLYN, NY 11210",40.625835,-73.938711,1,rooftop,3829,"Ave K",Brooklyn,NY,"Kings County",11210,US,"City of New York"
"P.S. 119","1075 PUGSLEY AVENUE BRONX, NY 10472",40.828674,-73.856863,1,rooftop,1075,"Pugsley Ave",Bronx,NY,"Bronx County",10472,US,"City of New York"
"P.S. 120 Carlos Tapia","18 BEAVER STREET BROOKLYN, NY 11206",40.700512,-73.937854,1,rooftop,18,"Beaver St",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"P.S. 120 Queens","58-01 136 STREET QUEENS, NY 11355",40.745233,-73.829166,1,rooftop,58-1,"136th St",Flushing,NY,"Queens County",11355,US,"City of New York"
"P.S. 122 Mamie Fay","21-21 DITMARS BOULEVARD QUEENS, NY 11105",40.780254,-73.916121,1,rooftop,21-21,"Ditmars Blvd",Astoria,NY,"Queens County",11105,US,"City of New York"
"P.S. 123 Mahalia Jackson","301 WEST 140 STREET MANHATTAN, NY 10030",40.819962,-73.944664,1,rooftop,301,"W 140th St","New York",NY,"New York County",10030,US,"City of New York"
"P.S. 123 Suydam","100 IRVING AVENUE BROOKLYN, NY 11237",40.703905,-73.922575,1,rooftop,100,"Irving Ave",Brooklyn,NY,"Kings County",11237,US,"City of New York"
"P.S. 124 Silas B. Dutcher","515 4 AVENUE BROOKLYN, NY 11215",40.594644,-73.965672,0.9,rooftop,515,"Gravesend Neck Rd",Brooklyn,NY,"Kings County",11223,US,"City of New York"
"P.S. 126 Dr Marjorie H Dunbar","175 WEST 166 STREET BRONX, NY 10452",40.835952,-73.928391,1,rooftop,175,"W 166th St",Bronx,NY,"Bronx County",10452,US,"City of New York"
"P.S. 126 Jacob August Riis","80 CATHERINE STREET MANHATTAN, NY 10038",40.710344,-73.996704,1,rooftop,80,"Catherine St","New York",NY,"New York County",10038,US,"City of New York"
"P.S. 127 Mckinley Park","7805 7 AVENUE BROOKLYN, NY 11228",40.616695,-74.013047,0.33,place,,,Brooklyn,NY,"Kings County",11228,US,"TIGER/Line® dataset from the US Census Bureau"
"P.S. 128 Bensonhurst","2075 84 STREET BROOKLYN, NY 11214",40.604838,-73.99527,1,rooftop,2075,"84th St",Brooklyn,NY,"Kings County",11214,US,"City of New York"
"P.S. 130 Hernando De Soto","143 BAXTER STREET MANHATTAN, NY 10013",40.718738,-73.998444,1,rooftop,143,"Baxter St","New York",NY,"New York County",10013,US,"City of New York"
"P.S. 130 The Parkside","70 OCEAN PARKWAY BROOKLYN, NY 11218",40.648443,-73.975541,1,range_interpolation,70,"Ocean Pkwy",Brooklyn,NY,"Kings County",11218,US,"TIGER/Line® dataset from the US Census Bureau"
"P.S. 131 Brooklyn","4305 FT HAMILTON PARKWAY BROOKLYN, NY 11219",40.640838,-73.993415,1,rooftop,4305,"Ft Hamilton Pkwy",Brooklyn,NY,"Kings County",11219,US,"City of New York"
"P.S. 133 Fred R Moore","2121 5 AVENUE MANHATTAN, NY 10037",40.809857,-73.939498,1,rooftop,2121,"5th Ave","New York",NY,"New York County",10037,US,"City of New York"
"P.S. 134 George F. Bristow","1330 BRISTOW STREET BRONX, NY 10459",40.831478,-73.894657,1,rooftop,1330,"Bristow St",Bronx,NY,"Bronx County",10459,US,"City of New York"
"P.S. 134 Hollis","203-02 109 AVENUE QUEENS, NY 11412",40.707883,-73.754899,1,rooftop,203-2,"109th Ave","Saint Albans",NY,"Queens County",11412,US,"City of New York"
"P.S. 135 Sheldon A. Brookner","5811 DITMAS AVENUE BROOKLYN, NY 11203",40.643855,-73.921472,1,rooftop,5811,"Ditmas Ave",Brooklyn,NY,"Kings County",11203,US,"City of New York"
"P.S. 135 Sheldon A. Brookner","684 LINDEN BOULEVARD BROOKLYN, NY 11203",40.653418,-73.932977,1,rooftop,684,"Linden Blvd",Brooklyn,NY,"Kings County",11203,US,"City of New York"
